version,case,iteration,elapsed,rss,private,pagefile,handles,threads
3.7.2,native-factor1,650,89.18799999999999,48119808,163328000,163328000,177,4
3.7.2,native-factor1,675,92.56299999999999,50405376,165642240,165642240,178,6
3.7.2,native-factor1,700,95.89099999999996,50405376,165642240,165642240,178,6
3.7.2,native-factor1,725,99.25,50405376,165642240,165642240,178,6
3.7.2,native-factor1,750,102.61000000000001,50163712,165642240,165642240,178,6
3.7.2,native-factor1,775,105.96900000000005,49238016,165642240,165642240,178,6
3.7.2,native-factor1,800,109.29700000000003,49115136,165642240,165642240,178,6
3.7.2,native-factor1,825,112.65600000000006,48603136,165642240,165642240,178,6
3.7.2,native-factor1,850,116.03100000000006,48574464,165642240,165642240,178,6
3.7.2,native-factor1,875,119.42200000000003,48496640,165642240,165642240,178,6
3.7.2,native-factor1,900,122.78100000000006,48050176,165642240,165642240,178,6
3.7.2,native-factor1,925,126.15600000000006,48029696,165642240,165642240,178,6
3.7.2,native-factor1,950,129.53100000000006,47575040,165642240,165642240,178,6
3.7.2,native-factor1,975,132.938,47083520,165642240,165642240,178,6
3.7.2,native-factor1,1000,136.28100000000006,46825472,165642240,165642240,178,6
3.6.5,native-factor3,0,0,39043072,26095616,26095616,176,4
3.6.5,native-factor3,1,0.29700000000002547,47800320,163438592,163438592,176,4
3.6.5,native-factor3,25,3.2970000000000255,47579136,163160064,163160064,176,4
3.6.5,native-factor3,50,6.405999999999949,47591424,163160064,163160064,176,4
3.6.5,native-factor3,75,9.562000000000126,47669248,163160064,163160064,176,4
3.6.5,native-factor3,100,12.734000000000151,47669248,163160064,163160064,176,4
3.6.5,native-factor3,125,15.905999999999949,47669248,163160064,163160064,176,4
3.6.5,native-factor3,150,19.062000000000126,47669248,163160064,163160064,176,4
3.6.5,native-factor3,175,22.202999999999975,48631808,164122624,164122624,176,4
3.6.5,native-factor3,200,25.34400000000005,48631808,164122624,164122624,176,4
3.6.5,native-factor3,225,28.48400000000015,48631808,164122624,164122624,176,4
3.6.5,native-factor3,250,31.60900000000015,48631808,164122624,164122624,176,4
3.6.5,native-factor3,275,34.75,48631808,164122624,164122624,176,4
3.6.5,native-factor3,300,37.875,48631808,164122624,164122624,176,4
3.6.5,native-factor3,325,41.0150000000001,48631808,164122624,164122624,176,4
3.6.5,native-factor3,350,44.172000000000025,48631808,164122624,164122624,176,4
3.6.5,native-factor3,375,47.34400000000005,48631808,164122624,164122624,176,4
3.6.5,native-factor3,400,50.547000000000025,48631808,164122624,164122624,176,4
3.6.5,native-factor3,425,53.702999999999975,48603136,164122624,164122624,176,4
3.6.5,native-factor3,450,56.85900000000015,48603136,164122624,164122624,176,4
3.6.5,native-factor3,475,59.98400000000015,48603136,164122624,164122624,176,4
3.6.5,native-factor3,500,63.10900000000015,48603136,164122624,164122624,176,4
3.6.5,native-factor3,525,66.29700000000003,48603136,164122624,164122624,176,4
3.6.5,native-factor3,550,69.46900000000005,48603136,164122624,164122624,176,4
3.6.5,native-factor3,575,72.6400000000001,48603136,164122624,164122624,176,4
3.6.5,native-factor3,600,75.82799999999997,48603136,164122624,164122624,176,4
3.6.5,native-factor3,625,78.96900000000005,48603136,164122624,164122624,176,4
3.6.5,native-factor3,650,82.1400000000001,48603136,164122624,164122624,176,4
3.6.5,native-factor3,675,85.2650000000001,48603136,164122624,164122624,176,4
3.6.5,native-factor3,700,88.35900000000015,48603136,164122624,164122624,176,4
3.6.5,native-factor3,725,91.23400000000015,48644096,164188160,164188160,177,6
3.6.5,native-factor3,750,93.82799999999997,48644096,164188160,164188160,177,6
3.6.5,native-factor3,775,96.42200000000003,48644096,164188160,164188160,177,6
3.6.5,native-factor3,800,99.04700000000003,48640000,164184064,164184064,177,6
3.6.5,native-factor3,825,101.65599999999995,48640000,164184064,164184064,177,6
3.6.5,native-factor3,850,104.25,48586752,164184064,164184064,177,6
3.6.5,native-factor3,875,106.85900000000015,48295936,164184064,164184064,177,6
3.6.5,native-factor3,900,109.46900000000005,47448064,164184064,164184064,177,6
3.6.5,native-factor3,925,112.06200000000013,47218688,164184064,164184064,177,6
3.6.5,native-factor3,950,114.6400000000001,46895104,164184064,164184064,177,6
3.6.5,native-factor3,975,117.23400000000015,46874624,164184064,164184064,177,6
3.6.5,native-factor3,1000,119.82799999999997,46833664,164184064,164184064,177,6
3.7.2,native-factor3,0,0,39518208,26222592,26222592,177,4
3.7.2,native-factor3,1,0.40599999999994907,47951872,163106816,163106816,177,4
3.7.2,native-factor3,25,3.9529999999999745,48025600,163106816,163106816,177,4
3.7.2,native-factor3,50,7.718999999999937,48029696,163102720,163102720,177,4
3.7.2,native-factor3,75,11.437000000000012,48214016,163270656,163270656,177,4
3.7.2,native-factor3,100,15.093999999999937,48214016,163258368,163258368,177,4
3.7.2,native-factor3,125,18.812000000000012,48214016,163258368,163258368,177,4
3.7.2,native-factor3,150,22.53099999999995,48226304,163258368,163258368,177,4
3.7.2,native-factor3,175,26.25,49188864,164225024,164225024,177,4
3.7.2,native-factor3,200,29.983999999999924,49254400,164225024,164225024,177,4
3.7.2,native-factor3,225,33.68700000000001,49254400,164225024,164225024,177,4
3.7.2,native-factor3,250,37.39099999999996,49254400,164225024,164225024,177,4
3.7.2,native-factor3,275,41.108999999999924,49254400,164225024,164225024,177,4
3.7.2,native-factor3,300,44.827999999999975,49254400,164225024,164225024,177,4
3.7.2,native-factor3,325,48.577999999999975,49254400,164225024,164225024,177,4
3.7.2,native-factor3,350,52.28099999999995,49254400,164225024,164225024,177,4
3.7.2,native-factor3,375,55.93700000000001,49197056,164220928,164220928,177,4
3.7.2,native-factor3,400,59.59399999999994,49197056,164220928,164220928,177,4
3.7.2,native-factor3,425,63.26599999999996,49192960,164216832,164216832,177,4
3.7.2,native-factor3,450,66.98399999999992,49192960,164216832,164216832,177,4
3.7.2,native-factor3,475,70.67199999999991,49192960,164216832,164216832,177,4
3.7.2,native-factor3,500,74.35899999999992,49192960,164216832,164216832,177,4
3.7.2,native-factor3,525,78.03099999999995,49192960,164216832,164216832,177,4
3.7.2,native-factor3,550,81.70299999999997,49192960,164216832,164216832,177,4
3.7.2,native-factor3,575,85.40599999999995,49192960,164216832,164216832,177,4
3.7.2,native-factor3,600,89.125,49192960,164216832,164216832,177,4
3.7.2,native-factor3,625,92.70299999999997,49229824,164278272,164278272,178,6
3.7.2,native-factor3,650,96.18700000000001,49229824,164278272,164278272,178,6
3.7.2,native-factor3,675,99.65599999999995,49225728,164274176,164274176,178,6
3.7.2,native-factor3,700,103.10899999999992,49225728,164274176,164274176,178,6
3.7.2,native-factor3,725,106.57799999999997,48676864,164274176,164274176,178,6
3.7.2,native-factor3,750,110.03099999999995,47992832,164274176,164274176,178,6
3.7.2,native-factor3,775,113.48399999999992,47509504,164270080,164270080,178,6
3.7.2,native-factor3,800,116.92199999999991,47489024,164270080,164270080,178,6
3.7.2,native-factor3,825,120.39099999999996,47435776,164270080,164270080,178,6
3.7.2,native-factor3,850,123.82799999999997,47206400,164270080,164270080,178,6
3.7.2,native-factor3,875,127.26599999999996,46903296,164270080,164270080,178,6
3.7.2,native-factor3,900,130.75,46862336,164270080,164270080,178,6
3.7.2,native-factor3,925,134.187,46227456,164270080,164270080,178,6
3.7.2,native-factor3,950,137.60899999999992,45670400,164270080,164270080,178,6
3.7.2,native-factor3,975,141.10899999999992,45654016,164270080,164270080,178,6
3.7.2,native-factor3,1000,144.5469999999999,45621248,164270080,164270080,178,6
